description;address;area;bedrooms;suites;wc;parking_spots;value;condo_fee;df_tax;aptlink
Apartamento para venda com 97 metros quadrados com 1 quarto em Norte - Brasília - DF;-;[];[1];[];[1];[1];816492;0;0;-
Apartamento para venda tem 49 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;-;[];[2];[1];[2];[1];249566;0;0;-
Apartamento 1e2 quartos com lazer completo;-;[];[2];[0];[1];[1];183000;0;0;-
Apartamento em rua 4a Vicente Pires/aceita permuta em 26 de Setembro;-;[];[2];[0];[1];[0];180000;0;0;-
SUPREMO - 04 SUÍTES - 02 VAGAS DE GARAGEM - ÁGUAS CLARAS;-;['104'];[4];[4];[4];[2];850000;835;-;-
Vd Apt 3 qts c/suite - Prox Feira do Produtor Vicente - DF;-;['60'];[3];[1];[1];[2];280000;0;0;-
Apartamento 2qrts pelo programa casa verde e amarela;-;[];[2];[0];[1];[1];178000;0;0;-
Apartamento Com 3 Dormitórios à Venda, 75 m²;-;['144'];[3];[];[2];[2];670000;740;-;-
Edvaldo Moreira Vende Ágio Apartamento 1 Quarto 36 Com Área de Lazer Tagua-Life Center Taguatinga N;-;['36'];[1];[0];[1];[1];75000;435;650;-
Apartamento 2qrts com ótimos preços;-;[];[2];[0];[1];[1];183000;0;0;-
Apartamento para venda com 153 metros quadrados com 3 quartos em Samambaia Norte - Brasília - DF;-;[];[3];[1];[2];[2];674600;0;0;-
Apartamento 2qrts com melhores condições no DF;-;[];[2];[0];[1];[0];178000;0;0;-
Apartamento 2 qrts com oportunidade única no DF;-;[];[2];[0];[1];[1];183000;0;0;-
Apartamento com todo conforto e lazer;-;[];[2];[0];[1];[1];180000;0;0;-
APARTAMENTO RESIDENCIAL em TAGUATINGA NORTE RESIDENCIAL PARADISO CLUBE - DF, APTO 2 QTOS / SUÍTE LAZ;-;['60'];[2];[1];[1];[1];350000;490;-;-
Apartamento 1e2 quartos com subsídio de até 47mil;-;[];[2];[0];[1];[1];183000;0;0;-
Top Life Club Residence - Apartamento 3 Quartos - Reformado - Águas Claras;-;['85'];[3];[1];[2];[2];580000;0;0;-
Apartamento para venda possui 153 metros quadrados com 3 quartos em Samambaia Norte - Brasília - DF;-;[];[3];[1];[2];[2];674855;0;0;-
Cobertura 3 quartos à venda, 224 m² - Contemporâneo;-;[];[3];[1];[7];[3];2750434;0;0;-
Apartamento para venda tem 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;-;[];[2];[];[1];[1];398667;0;0;-
IMPERDIVEL! Vendo lindo apartamento! 3Quartos! Todo Reformado! C/suíte! Ac.Financiamento!;-;[];[3];[1];[2];[1];299900;0;0;-
Apartamento para venda possui 65 metros quadrados com 2 quartos;-;[];[2];[1];[1];[];185000;0;0;-
Apartamento 1e2 quartos com lazer completo;-;[];[2];[0];[1];[1];183099;0;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270633;303;0;-
Sergio Soares vende: Apartamento 2 Quartos ED. Rio Tâmisa, Setor Central, Gama.;-;['42'];[2];[0];[1];[1];170000;240;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];269000;303;0;-
Apartamento para venda possui 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];269555;0;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270003;303;0;-
Residencial Guará Master;-;['81'];[3];[1];[2];[1];590000;690;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639008;540;0;-
Apartamento para venda com 83 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;-;[];[2];[];[1];[1];539007;0;0;-
Apartamento 3 quartos Lançamento Reserva Parque Clube Águas Claras Norte;-;['67'];[3];[1];[1];[];562010;500;1200;-
BRASÍLIA - Apartamento Padrão - ÁGUAS CLARAS;-;['216'];[3];[3];[4];[3];1650000;780;-;-
Apartamento com lazer completo;-;[];[2];[0];[1];[0];178000;0;0;-
ÁGIO DE 68 mil, prestação baixa, saldo devedor baixo;-;['55'];[1];[1];[1];[1];170000;270;100;-
My Life Style Águas Claras - Apartamento garden com 71 m², 1 quarto podendo ser transformado em 2 qu;-;['90'];[1];[1];[1];[1];530000;560;-;-
Apartamento para venda com 101 metros quadrados com 3 quartos em Taguatinga Sul - Brasília - DF;-;[];[3];[1];[2];[3];898755;0;0;-
Apto 44m², andar alto, 1 quarto, vista livre, Ac. Financ. Av. castanheiras, A. claras.;-;['44'];[1];[];[1];[1];430000;430;-;-
Oportunidade Vendo Excelente apartamento 2 quartos Qn 21 Riacho Fundo...;-;[];[2];[];[1];[1];200000;0;0;-
Apartamento para tem 33 metros quadrados com 1 quarto em Samambaia Norte - Brasília - DF;-;['56'];[1];[0];[1];[1];175000;-;-;-
Apartamento de alto padrão em Residencial Contemporâneo Noroeste;-;[];[4];[2];[4];[3];2134158;0;0;-
Apartamento para venda possui 168 metros quadrados com 4 quartos em Areal - Brasília - DF;-;['168'];[4];[4];[4];[0];790000;0;1000;-
Vendo Apartamento;-;[];[2];[];[1];[1];149000;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279544;303;0;-
Asa Norte | Apartamento 3 quartos, sendo 2 suites;-;['143'];[3];[2];[5];[1];1920000;950;1600;-
Apartamento de 02 Quartos (3º andar), no Jardins Mangueiral QC 03 por R$250.000,00;-;['47'];[2];[];[1];[1];250000;-;-;-
Apartamento para venda possui 56 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;-;[];[2];[];[1];[1];398787;0;0;-
Lançamento de 01 quarto na Rua 4a!;-;['30'];[1];[0];[1];[1];140000;0;0;-
Apartamento para venda possui 89 metros quadrados com 3 quartos Aguas Claras;-;[];[3];[1];[2];[];560000;0;0;-
Apartamento para venda tem 91 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[3];[4];[1];889037;0;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279061;303;0;-
Apartamento para venda possui 45 metros quadrados com 2 quartos em Setor Industrial - Brasília - DF;-;[];[2];[0];[1];[1];300000;320;0;-
Apartamento 1e2 quartos com subsídio de até 47mil;-;[];[2];[0];[1];[0];178000;0;0;-
Apartamento para venda possui 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[1];[2];[1];279009;0;0;-
DF PLAZA 01 QTO REFORMADO C/ARMARIOS PLANEJ. DESOCUPADO ACEITA FINAN.;-;[];[1];[1];[1];[1];325000;370;0;-
Apartamento Padrão 2 Quartos, Estacionamento Fechado | Quadra 04 - Aceita financiamento E FGTS;-;['60'];[2];[];[1];[1];260000;-;-;-
Apartamento 2 quartos com vaga de garagem vinculada;-;[];[2];[0];[1];[0];178000;0;0;-
SAMAMBAIA SUL (MAX 116) excelente oportunidade;-;[];[2];[];[1];[1];267025;0;0;-
Apartamento 2qrts pelo programa casa verde e amarela;-;[];[2];[0];[1];[0];178000;0;0;-
Rua 4C, Vicente Pires! Apartamento 2 quartos, 70m2, varanda, 1 vg;-;[];[2];[0];[1];[1];300000;285;417;-
Cobertura duplex 56m², 1Suíte, todo mobiliado, Aceita Financiamento e FGTS. QD101, A. CLARAS;-;['92'];[1];[1];[1];[1];530000;433;640;-
Apartamento para venda tem 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[1];[2];[1];279444;0;0;-
Residencial Top Life Long Beach - 2 quartos - 1 vaga coberta - 49m²;-;['49'];[2];[0];[1];[1];310000;350;500;-
Apartamento para venda tem 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639111;540;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639744;540;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639222;540;0;-
Compro e vendo Ágio, mesmo com prestações atrasadas: Casa, Apartamento e Terreno. Pagamos a Vista!;-;['100'];[3];[2];[3];[2];15000000;0;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];638772;540;0;-
Apartamento para venda tem 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639080;540;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639792;540;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639866;540;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];649622;0;0;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639432;540;0;-
Samuel Pereira oferece: Apartamento 1 Quarto Noroeste Ótima Localização.;-;['40'];[1];[0];[1];[0];380000;150;300;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[1];639132;540;0;-
Apartamento para venda possui 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];638006;540;0;-
Apartamento de 50 m² com 1 quarto, 1º andar - Rua 10 - Vicente Pires;-;['50'];[1];[1];[1];[0];149000;120;-;-
Apartamento 2qrt com ótimos preços;-;[];[2];[0];[1];[0];177000;-;0;-
Quadra 205 Green Tower 03 quartos 02 vagas Top !!!;-;['3000'];[3];[];[3];[2];810000;940;-;-
Apartamento com 2 quartos em Asa Sul- COBERTURA NO REAL LE PARC;-;[];[2];[1];[2];[2];1458244;0;0;-
Apartamento para venda possui 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[1];[2];[1];279503;0;0;-
Apartamento para venda com 53 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[1];[2];[1];279956;0;0;-
Ganhe subsídio ou desconto até 47 mil, documentação Gratis;-;['56'];[1];[0];[1];[1];176000;-;-;-
Apartamento 82m², 2 suítes, mobiliado, 1 vaga. ACEITA FINANCIAMENTO, Città Residence, A. Claras.;-;['82'];[3];[2];[3];[1];695000;507;-;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270002;303;0;-
Apartamento com lazer completo;-;[];[2];[0];[1];[1];184000;0;0;-
2 quartos pronto p morar, entrada facilitada, itbi e registro grátis;-;['78'];[2];[0];[1];[1];212000;-;-;-
Apartamento 2 Quartos, Bem Ventilado | Grande Colorado.;-;['50'];[2];[];[1];[];160000;-;-;-
Vd apt 2 qts com Suite - Armários Planejados- Ac financimento - Cei-DF;-;['49'];[2];[];[2];[1];250000;-;-;-
Apartamento 2 Quartos Reformado, Samambaia;-;['42'];[2];[0];[1];[2];250000;280;0;-
Milena Baqui Muniz - Cobertura em Águas Claras - Lazer completo!;-;['129'];[2];[1];[3];[1];850000;910;0;-
Apartamento para venda com 80 metros quadrados com 3 quartos em Arapoanga - Brasília - DF;-;['80'];[3];[];[2];[2];120000;-;0;-
Apartamento para venda tem 53m com 2 quartos em Riacho Fundo I - Brasília - DF Semi-mobiliado, plane;-;[];[2];[1];[2];[];195000;0;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270007;303;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279532;0;0;-
Apartamento para venda possui 47 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270544;0;0;-
Casa/sobrado com alto padrão de qualidade, situado na QN 01 Riacho Fundo I;-;['140'];[3];[2];[3];[2];850000;0;0;-
QI 5 - 2 Quartos, reformado no Guará!;-;['51'];[2];[0];[2];[1];325000;0;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270000;0;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];270705;0;0;-
Apartamento para venda possui 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279622;303;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279633;303;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279779;303;0;-
Apartamento para venda tem 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279017;0;0;-
Apartamento para venda com 80 metros quadrados com 3 quartos;-;[];[3];[1];[2];[1];270000;0;0;-
Vd Apt 2 qts C/suite (ac Finc) - a 100 metros da estação Ceilândia - DF;-;['58'];[2];[1];[2];[1];250000;288;0;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];269631;303;0;-
Apartamento 49m², 2 Qtos, lazer completo, ótima loc. Ac. Financiamento! QI 3 Taguatinga.;-;['49'];[2];[];[1];[1];280000;354;600;-
APARTAMENTO DE 2 QUARTOS NO RESIDENCIAL LE VILLE;-;['88'];[2];[1];[2];[1];398000;400;500;-
Apartamento para venda com 37 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];279669;303;0;-
Vendo na Asa Norte;-;['26'];[1];[];[1];[0];120000;-;-;-
Apartamento para venda com 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];590342;0;0;-
BRASÍLIA - Apartamento Padrão - RECANTO DAS EMAS;-;['29'];[1];[0];[1];[1];124550;250;-;-
Vendo na Vila Buritis;-;['54'];[2];[];[1];[1];160000;0;0;-
Apartamento-À VENDA-Norte (Águas Claras)-Brasília-DF;-;['124'];[3];[3];[3];[];1180000;-;-;-
Apartamento à venda, 3 quartos, 1 suíte, 1 vaga, Ceilândia Sul (Ceilândia) - Brasília/DF;-;['70'];[3];[1];[1];[1];365000;0;0;-
BRASÍLIA - Apartamento Padrão - NORTE (ÁGUAS CLARAS);-;['35'];[1];[0];[1];[1];305900;-;-;-
Apartamento 3 Quartos em Taguatinga com Armários e Varanda;-;['77'];[3];[0];[2];[1];239990;400;680;-
Apartamento com 2 dormitórios à venda, 67 m² por R$ 649.000,00 - Guará II - Guará/DF;-;['125'];[2];[1];[3];[1];649000;940;843;-
Apartamento para venda com 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];379444;0;0;-
BRASILIA - Kitchenette/Conjugados - Asa Norte;-;['30'];[1];[1];[1];[];190000;-;-;-
Apartamento para venda tem 50 metros quadrados com 2 quartos em Setor Meireles - Brasília - DF;-;['60'];[2];[0];[1];[1];150000;0;0;-
Apartamento para venda tem 52 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;['67'];[2];[1];[2];[1];260000;380;300;-
Vendo Flat/Apart Hotel Mobiliado - Shn 04 - Nobile Suítes Monumental - Asa Norte;-;['30'];[1];[];[1];[0];260000;0;485;-
Apartamento 2qrts pelo programa casa verde e amarela;-;[];[2];[0];[1];[1];183000;0;0;-
Apartamento para venda com 65 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[1];[2];[1];318733;0;0;-
Apartamento 1e2 quem com melhores preços;-;[];[2];[0];[1];[0];178000;0;0;-
Apartamento 2qrts com pelo programa casa verde e amarela;-;[];[2];[0];[1];[1];183000;0;0;-
Pronto p morar até 100% financiado, veja como conseguir;-;['76'];[2];[0];[1];[1];210000;-;-;-
Apartamento para Venda em RA XXVI Sobradinho II, Setor Habitacional Contagem (Sobradinho);-;['40'];[1];[];[1];[];100000;-;-;-
Apartamento para venda tem 101 metros quadrados com 3 quartos em Taguatinga Sul - Brasília - DF;-;[];[3];[1];[2];[3];889688;0;0;-
Apartamento para venda com 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];379651;0;0;-
Apartamento para venda tem 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];379522;0;0;-
Apartamento para venda com 56 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];379880;0;0;-
LINDO APARTAMENTO | 2 QUARTOS | 50M² | TAGUATINGA;-;['50'];[2];[1];[2];[1];260000;0;0;-
Apartamento 2qrts com até zero de entrada;-;[];[2];[0];[1];[1];183000;0;0;-
Águas Claras (Norte) | Apartamento 2 quartos, sendo 1 suite;-;['116'];[2];[1];[2];[2];740000;750;-;-
ANDAR ALTO + VISTA LIVRE + ÁREA DE LAZER! ED CIDADE DE BARCELONA, RUA 24 NORTE, ÁGUAS CLARAS;-;['87'];[3];[1];[3];[1];579000;0;0;-
Apartamento 03 quartos 120m² Águas Claras Norte;-;['700'];[3];[];[3];[1];710000;809;-;-
Apartamento - 3 quartos - Reformado - 2 vagas;-;['92'];[3];[1];[3];[2];900000;1200;0;-
APARTAMENTO PARA VENDA, GRANDE COLORADO, SOBRADINHO;-;[];[1];[0];[1];[0];130000;-;-;-
Excelente apartamento 3Q 69m portal do Sol;-;['69'];[3];[1];[2];[1];410000;0;0;-
Apartamento com ótima localização;-;[];[2];[0];[1];[0];177000;0;0;-
SQS 405 - Apto vazado, reformado, 2 suítes, meio de quadra, ar cond.;-;['81'];[3];[2];[3];[0];840000;450;0;-
2 quartos pronto p morar, pelo programa casa verde e amarela;-;['76'];[2];[0];[1];[1];213000;-;-;-
Apartamento 1 quarto para Venda Setor Sudoeste, Brasília;-;['90'];[1];[1];[1];[0];249000;266;-;-
LINDO APARTAMENTO | 80M² | 2 QTS | ÁGUAS CLARAS.;-;['68'];[2];[1];[2];[1];675000;0;0;-
Guará II - apto reformado, desocupado (cond. fechado);-;['54'];[2];[0];[1];[1];445000;367;0;-
Apartamento de 2 Quartos Localizado no polo de modas da Qe 40 do guará II.;-;['90'];[2];[1];[1];[];220000;70;0;-
BRASÍLIA - Apartamento Padrão - SUL (ÁGUAS CLARAS);-;['57'];[1];[0];[1];[1];459000;375;-;-
Apartamento de 3 Qts a venda - Residencial Duetto;-;['80'];[3];[1];[2];[1];700000;678;139;-
Ap 1 ou 2 quartos até 100% FINANCIADO pela caixa e programa casa verde e amarela;-;['57'];[1];[0];[1];[1];178000;-;-;-
Ótimo apartamento, elevador e garagem!;-;['100'];[3];[1];[3];[1];600000;-;-;-
BRASÍLIA - Apartamento Padrão - NORTE (ÁGUAS CLARAS);-;['98'];[3];[2];[2];[1];559900;573;-;-
Apartamento para venda com 88 metros quadrados com 3 quartos em Sul - Brasília - DF;-;[];[3];[1];[2];[2];639708;0;0;-
Lazer completo, 1 ou 2 quartos, prestação baixa pelo programa casa verde e amarela;-;['57'];[2];[0];[1];[1];168000;-;-;-
Apartamento 2 QUARTOS com SUITE no Guará;-;[];[2];[1];[2];[1];94809;0;0;-
Apartamento para venda tem 33 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[0];[1];[0];178000;0;0;-
Apartamento para venda tem 54 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;-;[];[2];[1];[2];[1];319562;0;0;-
Sports Club Guará: Reformado, lazer completo, 2 vagas;-;['92'];[4];[1];[3];[2];970000;769;0;-
Apartamento 2qrst com oportunidade única;-;[];[2];[0];[1];[0];177000;0;0;-
Apartamento com ótima localização;-;[];[2];[0];[1];[0];179000;0;0;-
Apartamento com 2 quartos em Ceilândia Norte - Brasília - DF;-;[];[2];[];[2];[1];230000;0;0;-
Apartamento de 59 m² com 2 quartos - Rua 12 - Vicente Pires;-;['59'];[2];[0];[1];[0];125000;50;-;-
Apartamento para venda possui 158 metros quadrados com 4 quartos em Sul - Brasília - DF;-;[];[4];[2];[3];[3];1415900;0;0;-
Venda - APARTAMENTO Mobiliado Dividido, 1 Suite - Ed. Metropolitan - Asa Norte;-;[];[1];[0];[1];[];380000;1095;0;-
LINDO APARTAMENTO, ALTO PADRÃO, 3 QUARTOS, 01 SUÍTE, REFORMADO, 2º ANDAR, HIDROMASSAGEM, NASCENTE, C;-;['65'];[3];[1];[2];[0];630000;300;58;-
Ágio Samambaia Norte QD 425 Parcelas 615;-;[];[2];[];[1];[1];33999;1;2;-
LINDO APARTAMENTO NO ITAPÕA PARQUE!!!!;-;['60'];[2];[0];[1];[1];59999;0;0;-
Apartamento para venda possui 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589670;0;0;-
Capa de Revista! 01 Quarto, 42m2, Mobiliado, Resid. Max Home, Águas Claras;-;[];[1];[];[1];[1];384000;335;0;-
Apartamento de 2 Quartos para Venda, Residencial Santos Dumont, Santa Maria DF;-;['70'];[2];[1];[1];[1];270000;200;0;-
Apartamento para venda possui 101 metros quadrados com 3 quartos em Taguatinga Sul - Brasília - DF;-;[];[3];[1];[2];[3];889006;0;0;-
Apartamento para venda possui 101 metros quadrados com 2 quartos em Taguatinga Sul - Brasília - DF;-;[];[2];[1];[2];[3];898444;0;0;-
Apartamento para venda possui 101 metros quadrados com 3 quartos em Taguatinga Sul - Brasília - DF;-;[];[3];[1];[2];[3];898966;0;0;-
Taguá Life apto 2 qts, armários, 48m, só 315mil Ac carro e FGTS;-;['48'];[2];[0];[1];[1];315000;260;-;-
Apartamento com 2 dormitórios à venda, 48 m² por R$ 160.000,00 - Vicente Pires - Vicente Pires/DF;-;['48'];[2];[0];[1];[0];160000;250;0;-
Apto 3 quartos com DCE e Área de Lazer com piscina;-;['1062'];[3];[];[3];[1];1450000;1241;-;-
Residencial Real Quality - 1 quarto - 38m² - Excelente localização;-;['38'];[1];[1];[1];[1];345000;380;530;-
Lindo apartamento no Residencial Allegro;-;[];[2];[0];[1];[1];315000;373;-;-
Apartamento com 1 dormitório à venda, 51 m² por R$ 270.000,00 - Asa Norte - Brasília/DF;-;['51'];[1];[0];[1];[0];270000;0;0;-
APARTAMENTO RESIDENCIAL em ÁGUAS CLARAS - DF, RES. ELEGANCE 3 QTOS + DCE;-;['102'];[3];[1];[3];[1];845000;549;1116;-
Preciso de ágio de apartamento Riacho Fundo ll. Venda imediata.;-;['52'];[2];[0];[1];[0];85000;-;-;-
Apartamento com 3 dormitórios à venda, 71 m² por R$ 250.000,00 - Guará II - Guará/DF;-;['71'];[3];[3];[4];[0];250000;250;0;-
Apartamento pelo programa casa verde e amarela;-;[];[2];[0];[1];[0];178000;0;0;-
BRASÍLIA - Apartamento Padrão - TAGUATINGA NORTE (TAGUATINGA);-;['60'];[2];[0];[1];[1];270000;320;500;-
LINDÍSSIMA CASA EM CONDOMINIO RUA 04 VICENTE PIRES 3 SUÍTES PISCINA CHURRASQUEIRA ÓTIMA LOCALIZAÇÃO;-;['400'];[3];[3];[5];[4];1490000;-;-;-
Apartamento 132m², vazado, nascente, 3 Qtos(1 Suíte) Laz. Compl. Ac. Financ. A. Claras.;-;['132'];[4];[1];[3];[1];840000;976;1200;-
Singular - Apartamento 4 quartos à venda, 173 m²;-;[];[4];[4];[6];[3];2819993;0;0;-
Apartamento para venda possui 49 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;-;[];[2];[1];[2];[1];249693;0;0;-
2 Quartos Taguatinga Norte - QNL 02 (Armários Planejados);-;['65'];[2];[0];[1];[1];240000;390;500;-
Apartamento pelo programa casa verde e amarela;-;[];[2];[0];[1];[0];177000;0;0;-
Ap que pode ser 1 ou 2 quartos, até 100% financiado pelo programa casa verde e amarela e;-;['58'];[2];[0];[1];[1];180000;-;-;-
Apartamento para venda tem 53 metros quadrados com 2 quartos em Setor Industrial - Brasília - DF;-;[];[2];[1];[2];[1];299009;0;0;-
Asa Norte | Apartamento 1 quarto;-;['40'];[1];[];[1];[];550000;555;924;-
RESIDENCIAL ENCONTRO DAS AGUAS 3 QUARTOS;-;['124'];[3];[1];[3];[1];800000;900;1200;-
Apartamento para venda com 73 metros quadrados com 3 quartos em Samambaia Sul - Brasília - DF;-;[];[3];[1];[2];[2];549972;0;0;-
Apartamento para venda possui 33 metros quadrados com 1 quarto em Samambaia Norte - Brasília - DF;-;['53'];[1];[0];[1];[1];174000;-;-;-
Apartamento com lazer completo;-;[];[2];[0];[1];[0];179000;0;0;-
Mude já apartamento 2 quartos c garagem, entrada facilitada, itbi e registro grátis;-;['78'];[2];[0];[1];[1];212000;300;-;-
O apartamento pelo programa casa verde e amarela, entrada facilitada, prestação baixa;-;['57'];[2];[0];[1];[1];175000;-;-;-
Apartamento para venda possui 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589703;0;0;-
Apartamento para venda possui 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589644;0;0;-
Apartamento para venda com 54 metros quadrados com 2 quartos em Samambaia Sul - Brasília - DF;-;[];[2];[1];[2];[1];319688;0;0;-
2 Quartos c/ varanda em Águas Claras – Desocupado, andar alto;-;['57'];[2];[1];[2];[1];425000;460;0;-
Apartamento para venda com 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589744;0;0;-
Apartamento para venda tem 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589055;0;0;-
Apartamento para venda com 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589590;0;0;-
Apartamento para venda possui 95 metros quadrados com 1 quarto em Taguatinga Sul - Brasília - DF;-;[];[1];[];[1];[1];589705;0;0;-
𝗔𝗣𝗔𝗥𝗧𝗔𝗠𝗘𝗡𝗧𝗢 𝗗𝗘 𝟯 𝗤𝗨𝗔𝗥𝗧𝗢𝗦 𝗡𝗢 𝗖𝗢𝗡𝗗𝗢𝗠𝗜́𝗡𝗜𝗢 𝗕𝗘𝗠 𝗩𝗜𝗩𝗘𝗥;-;['80'];[3];[1];[2];[1];320000;300;350;-
Apartamento 2qrts com oportunidade única;-;[];[2];[0];[1];[0];177000;0;0;-
BRASÍLIA - Apartamento Padrão - NORTE (ÁGUAS CLARAS);-;['139'];[3];[1];[4];[1];840000;867;1200;-
GRANDE OPORTUNIDADE!! Ótimo Apartamento de 03 Quartos sendo 01 suíte no Residencial Dolce Vitta por;-;['119'];[3];[1];[1];[1];750000;-;-;-
Residencial Felicitá - 2 Quartos em Samambaia - Andar Alto;-;['54'];[2];[1];[2];[1];300000;485;600;-
Agio 57 Mil da caixa Riacho fundo || Ac troca.;-;[];[3];[1];[2];[1];56000;330;250;-
Ap 1 ou 2 quartos, muitas facilidades pela construtora e programa casa verde e amarela;-;['56'];[1];[0];[1];[1];176000;-;-;-
Apartamento com 2 dormitórios à venda, 42 m² por R$ 150.000,00 - Vicente Pires - Vicente Pires/DF;-;['42'];[2];[0];[1];[0];150000;262;0;-
Apartamento com facilidades na compra;-;[];[2];[0];[1];[0];178000;0;0;-
Apartamento para venda tem 33 metros quadrados com 2 quartos em Samambaia Norte - Brasília - DF;-;[];[2];[0];[1];[0];177000;0;0;-
Apartamento 2 quartos PARA VENDA;-;['48'];[2];[];[1];[];160000;-;-;-
